epoch,total_loss,dist_loss,fredf_loss,anchor_loss,nomoto_loss,div_loss,pw_fde_nm,val_ade,val_fde,val_ccr,val_dcpa_mae,val_anchor_ade,val_anchor_fde,lr,eff_div_weight,sda_gates,gpu_mem_mb,gpu_mem_peak_mb,epoch_time_s,best_ade,no_improve
0,42.078198,20.383862,21.478514,0.195654,0.000195,0.000000,4.0157,,,,,,,2.18e-05,0.5000,0.8808|0.8808|0.8808|0.8808|0.8808|0.8808|0.8808|0.8808,329,15543,1757.4,inf,0
1,30.016307,11.518288,18.099814,0.238688,0.162729,-0.027023,1.9471,,,,,,,4.16e-05,0.5000,0.8807|0.8809|0.8806|0.8807|0.8807|0.8809|0.8808|0.8808,328,15543,1781.2,inf,0
2,33.873436,13.473221,20.175714,0.212827,0.032590,-0.042381,1.5562,,,,,,,6.14e-05,0.5000,0.8805|0.8804|0.8805|0.8807|0.8806|0.8806|0.8805|0.8807,330,15543,1781.4,inf,0
3,30.233230,12.809548,17.168317,0.217803,0.062963,-0.047343,1.1826,,,,,,,8.12e-05,0.5000,0.8801|0.8800|0.8801|0.8802|0.8802|0.8798|0.8802|0.8802,329,15543,1776.9,inf,0
4,29.567114,13.905019,15.448037,0.217326,0.037340,-0.062433,1.1279,1.2174,0.9589,0.3719,0.7497,0.0592,0.1387,1.01e-04,0.5000,0.8798|0.8796|0.8798|0.8800|0.8801|0.8796|0.8802|0.8798,330,15543,1778.6,1.2174,0
5,31.984903,14.762795,16.967056,0.226318,0.054761,-0.048370,0.7135,,,,,,,1.21e-04,0.5000,0.8796|0.8790|0.8796|0.8797|0.8800|0.8789|0.8800|0.8792,330,15543,1779.0,1.2174,0
6,28.205944,12.620091,15.398237,0.220024,0.020613,-0.075034,0.9505,,,,,,,1.41e-04,0.5000,0.8787|0.8787|0.8786|0.8794|0.8797|0.8783|0.8792|0.8782,330,15543,1788.1,1.2174,0
7,28.620930,13.297938,15.136146,0.215674,0.011844,-0.062432,0.6997,,,,,,,1.60e-04,0.5000,0.8781|0.8782|0.8780|0.8788|0.8787|0.8781|0.8790|0.8774,328,15543,1784.5,1.2174,0
8,22.568256,11.602370,10.750173,0.207291,0.014509,-0.026719,0.2247,,,,,,,1.80e-04,0.5000,0.8763|0.8758|0.8754|0.8763|0.8775|0.8773|0.8779|0.8765,329,15543,1775.9,1.2174,0
9,26.103047,12.781291,12.740821,0.305610,0.368324,-0.123663,0.8473,0.9161,0.8810,0.3402,0.6085,0.1175,0.1441,2.00e-04,0.5000,0.8754|0.8735|0.8742|0.8748|0.8769|0.8770|0.8777|0.8756,328,15543,1770.4,0.9161,0
10,45.679425,26.777808,18.612691,0.262891,0.255620,-0.256098,1.8312,,,,,,,2.00e-04,0.5000,0.8754|0.8734|0.8740|0.8746|0.8766|0.8765|0.8762|0.8756,329,15543,1777.9,0.9161,0
11,46.573786,25.340613,20.417905,0.421338,0.807669,-0.456286,2.9574,,,,,,,2.00e-04,0.5000,0.8750|0.8729|0.8735|0.8742|0.8761|0.8762|0.8758|0.8748,327,15543,1778.7,0.9161,0
12,40.642114,20.745766,17.823222,0.961151,1.321877,-0.306064,1.9657,,,,,,,2.00e-04,0.5000,0.8747|0.8725|0.8731|0.8739|0.8757|0.8758|0.8753|0.8748,327,15543,1774.2,0.9161,0
13,32.383242,14.718255,15.936535,0.883220,0.932860,-0.175944,0.8826,,,,,,,2.00e-04,0.5000,0.8741|0.8720|0.8728|0.8734|0.8754|0.8755|0.8752|0.8740,329,15543,716.4,0.9161,0
14,30.333286,15.421263,14.047717,0.467288,0.476382,-0.125868,0.5755,0.7210,0.6776,0.6928,0.5741,0.0951,0.1414,2.00e-04,0.5000,0.8736|0.8710|0.8721|0.8723|0.8745|0.8747|0.8749|0.8734,330,15543,609.2,0.7210,0
15,27.504578,12.991979,14.225164,0.271083,0.139816,-0.150257,0.6947,,,,,,,2.00e-04,0.5000,0.8723|0.8699|0.8714|0.8710|0.8744|0.8746|0.8749|0.8732,329,15543,611.4,0.7210,0
